model-1588501844, 1588501844.203, 0.52, 0.2497, 0.59, 0.2429
model-1588501844, 1588501844.26, 0.45, 0.2612, 0.48, 0.2517
model-1588501844, 1588501844.318, 0.39, 0.2546, 0.5, 0.2499
model-1588501844, 1588501844.371, 0.43, 0.2505, 0.42, 0.2505
model-1588501844, 1588501844.425, 0.48, 0.2501, 0.46, 0.25
model-1588501844, 1588501844.476, 0.49, 0.25, 0.44, 0.2505
model-1588501844, 1588501844.527, 0.47, 0.2504, 0.5, 0.25
model-1588501844, 1588501844.576, 0.41, 0.2513, 0.61, 0.2493
model-1588501844, 1588501844.624, 0.58, 0.2496, 0.5, 0.25
model-1588501844, 1588501844.681, 0.5, 0.2501, 0.56, 0.2495
model-1588501844, 1588501844.726, 0.45, 0.2503, 0.44, 0.2502
model-1588501844, 1588501844.775, 0.53, 0.2497, 0.52, 0.2498
model-1588501844, 1588501844.823, 0.46, 0.2502, 0.58, 0.2496
model-1588501844, 1588501844.872, 0.56, 0.2498, 0.61, 0.2496
model-1588501844, 1588501844.92, 0.5, 0.2499, 0.42, 0.2501
model-1588501844, 1588501844.97, 0.47, 0.25, 0.48, 0.25
model-1588501844, 1588501845.018, 0.46, 0.2501, 0.65, 0.2495
model-1588501844, 1588501845.064, 0.54, 0.2499, 0.47, 0.2499
model-1588501844, 1588501845.11, 0.6, 0.2496, 0.49, 0.2498
model-1588501844, 1588501845.153, 0.51, 0.2497, 0.4, 0.2512
model-1588501844, 1588501845.199, 0.51, 0.2498, 0.51, 0.2497
model-1588501844, 1588501845.242, 0.44, 0.2509, 0.42, 0.2512
model-1588501844, 1588501845.284, 0.51, 0.2497, 0.47, 0.2501
model-1588501844, 1588501845.33, 0.58, 0.2482, 0.48, 0.2497
model-1588501844, 1588501845.373, 0.51, 0.2498, 0.57, 0.2478
model-1588501844, 1588501845.416, 0.6, 0.2476, 0.43, 0.2537
model-1588501844, 1588501845.462, 0.56, 0.2492, 0.41, 0.2562
model-1588501844, 1588501845.504, 0.54, 0.2487, 0.48, 0.2519
model-1588501844, 1588501845.546, 0.5, 0.2518, 0.47, 0.2537
model-1588501844, 1588501845.592, 0.56, 0.2477, 0.62, 0.2418
model-1588501844, 1588501845.638, 0.51, 0.2503, 0.49, 0.2511
model-1588501844, 1588501845.69, 0.42, 0.2567, 0.38, 0.257
model-1588501844, 1588501845.741, 0.52, 0.2495, 0.47, 0.2515
model-1588501844, 1588501845.788, 0.52, 0.2489, 0.48, 0.2511
model-1588501844, 1588501845.832, 0.47, 0.2502, 0.48, 0.2496
model-1588501844, 1588501845.876, 0.61, 0.2464, 0.49, 0.2499
model-1588501844, 1588501845.919, 0.49, 0.2494, 0.49, 0.2499
model-1588501844, 1588501845.961, 0.53, 0.2472, 0.64, 0.2422
model-1588501844, 1588501846.006, 0.55, 0.2471, 0.43, 0.2523
model-1588501844, 1588501846.049, 0.51, 0.249, 0.46, 0.2479
model-1588501844, 1588501846.093, 0.52, 0.2485, 0.57, 0.248
model-1588501844, 1588501846.139, 0.56, 0.248, 0.64, 0.2465
model-1588501844, 1588501846.182, 0.55, 0.2478, 0.44, 0.252
model-1588501844, 1588501846.228, 0.65, 0.244, 0.57, 0.2462
model-1588501844, 1588501846.272, 0.62, 0.2448, 0.6, 0.2415
model-1588501844, 1588501846.316, 0.63, 0.2436, 0.57, 0.2469
model-1588501844, 1588501846.358, 0.51, 0.2491, 0.54, 0.2482
model-1588501844, 1588501846.403, 0.56, 0.2427, 0.6, 0.2364
model-1588501844, 1588501846.445, 0.65, 0.2373, 0.46, 0.2737
model-1588501844, 1588501846.487, 0.57, 0.2369, 0.39, 0.3127
model-1588501844, 1588501846.531, 0.58, 0.2368, 0.5, 0.2758
model-1588501844, 1588501846.573, 0.46, 0.277, 0.56, 0.2403
model-1588501844, 1588501846.615, 0.6, 0.2402, 0.53, 0.2483
model-1588501844, 1588501846.661, 0.52, 0.2516, 0.4, 0.2714
model-1588501844, 1588501846.704, 0.58, 0.2424, 0.57, 0.245
model-1588501844, 1588501846.747, 0.6, 0.2387, 0.53, 0.2494
model-1588501844, 1588501846.793, 0.55, 0.241, 0.42, 0.2662
model-1588501844, 1588501846.835, 0.53, 0.2492, 0.56, 0.2413
model-1588501844, 1588501846.878, 0.56, 0.2443, 0.59, 0.2381
model-1588501844, 1588501846.921, 0.56, 0.246, 0.55, 0.2464
model-1588501844, 1588501846.964, 0.57, 0.2439, 0.45, 0.2572
model-1588501844, 1588501847.006, 0.5, 0.2498, 0.46, 0.2552
model-1588501844, 1588501847.051, 0.6, 0.2414, 0.42, 0.2593
model-1588501844, 1588501847.093, 0.63, 0.2367, 0.55, 0.2413
model-1588501844, 1588501847.135, 0.54, 0.2443, 0.52, 0.248
model-1588501844, 1588501847.179, 0.56, 0.2391, 0.55, 0.2473
model-1588501844, 1588501847.221, 0.49, 0.2548, 0.5, 0.2447
model-1588501844, 1588501847.264, 0.57, 0.2384, 0.65, 0.2287
model-1588501844, 1588501847.308, 0.55, 0.2461, 0.57, 0.2432
model-1588501844, 1588501847.35, 0.49, 0.2511, 0.64, 0.2382
model-1588501844, 1588501847.394, 0.54, 0.2458, 0.6, 0.2453
model-1588501844, 1588501847.438, 0.59, 0.2367, 0.58, 0.2413
model-1588501844, 1588501847.48, 0.57, 0.2369, 0.59, 0.2295
model-1588501844, 1588501847.523, 0.55, 0.2535, 0.39, 0.267
model-1588501844, 1588501847.566, 0.5, 0.2473, 0.5, 0.2409
model-1588501844, 1588501847.608, 0.43, 0.2661, 0.48, 0.245
model-1588501844, 1588501847.65, 0.48, 0.2431, 0.5, 0.2477
model-1588501844, 1588501847.694, 0.5, 0.2446, 0.59, 0.2408
model-1588501844, 1588501847.736, 0.52, 0.246, 0.48, 0.2464
model-1588501844, 1588501847.779, 0.53, 0.2494, 0.59, 0.2458
model-1588501844, 1588501847.822, 0.64, 0.2435, 0.55, 0.2437
model-1588501844, 1588501847.867, 0.56, 0.2439, 0.6, 0.2435
model-1588501844, 1588501847.909, 0.61, 0.2432, 0.58, 0.2432
model-1588501844, 1588501847.955, 0.63, 0.2394, 0.51, 0.2473
model-1588501844, 1588501847.997, 0.56, 0.24, 0.4, 0.2691
model-1588501844, 1588501848.039, 0.57, 0.2372, 0.59, 0.2378
model-1588501844, 1588501848.083, 0.6, 0.2332, 0.51, 0.2451
model-1588501844, 1588501848.125, 0.46, 0.2647, 0.6, 0.2325
model-1588501844, 1588501848.167, 0.64, 0.2356, 0.47, 0.2471
model-1588501844, 1588501848.211, 0.62, 0.2318, 0.55, 0.2345
